,userID,musicbrainzID,plays
1,0,1,1099
2,0,2,897
3,0,3,717
4,0,4,706
5,0,5,691
6,0,6,545
7,0,7,507
8,0,8,424
9,0,9,403
10,0,10,393
11,0,11,387
12,0,12,361
13,0,13,358
15,0,15,316
16,0,16,310
17,0,17,302
18,0,18,288
19,0,19,281
20,0,20,244
21,0,21,232
22,0,22,231
23,0,23,229
24,0,24,227
25,0,25,222
26,0,26,220
27,0,27,210
28,0,28,208
30,0,30,198
31,0,31,198
32,0,32,189
33,0,33,185
34,0,34,183
35,0,35,182
36,0,36,175
37,0,37,168
38,0,38,154
39,0,39,153
40,0,40,151
41,0,41,150
45,0,45,135
46,0,46,134
47,0,47,134
48,0,48,131
49,1,49,12763
50,1,50,8192
51,1,51,6413
52,1,52,5361
54,1,54,5110
55,1,55,4811
56,1,56,4283
57,1,57,4143
58,1,58,4091
59,1,59,3916
60,1,60,3315
61,1,61,3147
62,1,62,2658
63,1,63,2641
64,1,64,2427
65,1,65,2369
66,1,66,2362
67,1,67,2259
68,1,68,2102
69,1,69,1899
70,1,70,1854
71,1,71,1703
72,1,72,1682
74,1,74,1468
75,1,75,1404
76,1,76,1384
77,1,77,1373
78,1,78,1323
79,1,79,1312
80,1,80,1254
81,1,81,1244
84,1,84,977
85,1,85,961
86,1,86,748
87,1,87,731
88,1,88,707
89,1,89,691
90,1,90,672
92,1,92,622
93,1,93,606
94,1,94,603
95,1,95,589
96,1,96,587
97,1,97,564
98,1,98,543
99,1,99,505
245,5,217,2417
246,5,239,1955
247,5,240,1480
248,5,196,1115
249,5,241,1094
250,5,56,1039
251,5,212,1022
252,5,210,944
253,5,242,763
254,5,243,754
256,5,245,712
257,5,246,704
258,5,247,647
259,5,248,597
260,5,184,480
261,5,249,478
262,5,250,410
263,5,201,385
264,5,251,367
265,5,252,366
266,5,253,332
267,5,254,313
268,5,255,311
269,5,256,300
270,5,257,296
271,5,258,295
272,5,259,283
273,5,260,282
274,5,261,278
275,5,262,270
